produto_id,nome_produto,categoria,custo_producao,preco_venda,quantidade_disponivel,tempo_producao_horas,data_cadastro
P001,Urso Clássico Bege,Ursos,R$ 18,50,R$ 55,00,12,3.5,2024-01-10
P002,Urso Panda,Ursos,R$ 22,00,R$ 65,00,8,4.0,2024-01-15
P003,Coelho da Páscoa,Coelhos,R$ 15,00,R$ 45,00,20,3.0,2024-02-01
P004,Coelho Gigante,Coelhos,R$ 35,00,R$ 95,00,4,6.5,2024-02-10
P005,Gatinho Dorminhoco,Gatos,R$ 12,00,R$ 40,00,15,2.5,2024-03-05
P006,Gato de Botas,Gatos,R$ 20,00,R$ 60,00,7,4.0,2024-03-12
P007,Dinossauro Verde,Dinossauros,R$ 25,00,R$ 75,00,10,5.0,2024-04-01
P008,Dinossauro Rosa,Dinossauros,R$ 25,00,R$ 75,00,6,5.0,2024-04-01
P009,Elefante Azul,Elefantes,R$ 28,00,R$ 80,00,9,5.5,2024-04-20
P010,Elefante Cinza,Elefantes,R$ 26,00,R$ 78,00,,5.5,2024-04-20
P011,Cachorrinho Caramelo,Cachorros,R$ 14,00,R$ 42,00,18,3.0,2024-05-05
P012,Bulldog Francês,Cachorros,R$ 30,00,R$ 85,00,5,6.0,2024-05-10
P013,Unicórnio Arco-Íris,Fantasia,R$ 40,00,R$ 110,00,3,7.0,2024-06-01
P014,Sereia,Fantasia,R$ 45,00,R$ 120,00,2,8.0,2024-06-15
P015,Girafinha,Girafas,R$ 22,00,R$ 68,00,11,4.5,2024-07-01
P016,Porquinho Rosa,Porcos,R$ 13,00,R$ 38,00,14,2.5,2024-07-10
P017,Ovelha Branquinha,Ovelhas,R$ 16,00,R$ 48,00,9,3.0,2024-08-01
P018,Tartaruga Verde,Répteis,R$ 18,00,R$ 55,00,7,3.5,2024-08-15
P019,Dragão Vermelho,Fantasia,R$ 50,00,R$ 130,00,1,9.0,2024-09-01
P020,Produto Inválido,,R$ -5,00,,0,,2024-99-99
P021,Axolote,Aquáticos,R$ 20,00,R$ 62,00,8,3.5,2024-09-20
P022,Pingüim,Aves,R$ 17,00,R$ 52,00,10,3.0,2024-10-01
P023,Flamingo,Aves,R$ 19,00,R$ 58,00,6,3.5,2024-10-15
P024,Leão,Felinos,R$ 32,00,R$ 90,00,4,6.0,2024-11-01
P025,Tigre de Pelúcia,Felinos,R$ 35,00,R$ 98,00,3,6.5,2024-11-10
